,geo_value,time_value,cases,deaths,doctor_visits,wili,wcli,doctor_visits_quantized,doctor_visits_randomized,doctor_visits_prior
69,25001,4/10/20,20,1,5.126278,0.5562406,0.3709234,6.0871614,6.0871614,6.0871614
70,25001,4/11/20,16,2,4.935397,0.6209572,0.5066956,6.0871614,54.7844526,18.2614842
71,25001,4/12/20,21,1,4.756696,0.5694263,0.4695858,6.0871614,12.1743228,6.0871614
72,25001,4/13/20,1,1,4.572581,0.4626278,0.4626278,6.0871614,6.0871614,18.2614842
73,25001,4/14/20,12,0,4.245249,0.4417173,0.4417173,6.0871614,6.0871614,6.0871614
74,25001,4/15/20,16,1,3.867359,0.5498989,0.5498989,6.0871614,24.3486456,6.0871614
75,25001,4/16/20,20,0,3.379761,0.6197068,0.6197068,6.0871614,6.0871614,18.2614842
76,25001,4/17/20,23,2,2.867225,0.4337003,0.4337003,6.0871614,48.6972912,54.7844526
77,25001,4/18/20,17,0,2.475135,0.0725497,0.0725497,6.0871614,42.6101298,54.7844526
78,25001,4/19/20,42,1,2.187896,0.0654996,0.0654996,6.0871614,30.435807,48.6972912
79,25001,4/20/20,32,0,1.899326,0.0820908,0.0820908,6.0871614,48.6972912,6.0871614
80,25001,4/21/20,8,1,1.628456,0,0,6.0871614,24.3486456,6.0871614
81,25001,4/22/20,6,5,1.576694,0,0,6.0871614,24.3486456,18.2614842
82,25001,4/23/20,30,1,1.948172,0.9828448,0.9828448,6.0871614,24.3486456,6.0871614
83,25001,4/24/20,39,4,2.472013,1.1630086,1.1809228,6.0871614,54.7844526,6.0871614
84,25001,4/25/20,9,5,3.238675,1.515634,1.5234628,6.0871614,24.3486456,6.0871614
85,25001,4/26/20,16,0,3.938813,1.6383506,1.6413884,6.0871614,60.871614,6.0871614
86,25001,4/27/20,26,2,4.620079,1.6061445,1.6075034,6.0871614,42.6101298,48.6972912
87,25001,4/28/20,22,0,5.273273,1.5211754,1.518105,6.0871614,30.435807,12.1743228
88,25001,4/29/20,22,1,5.7712,1.5429516,1.5309124,6.0871614,48.6972912,6.0871614
89,25001,4/30/20,18,3,6.276081,0.7474875,0.735993,12.1743228,36.5229684,12.1743228
90,25001,5/1/20,42,2,6.811385,0.5407857,0.5407857,12.1743228,54.7844526,18.2614842
91,25001,5/2/20,35,1,7.230221,0.1601252,0.1601252,12.1743228,60.871614,12.1743228
92,25001,5/3/20,9,1,7.502804,0,0,12.1743228,42.6101298,12.1743228
93,25001,5/4/20,15,0,7.565983,0,0,12.1743228,54.7844526,12.1743228
94,25001,5/5/20,8,1,7.189274,0,0,12.1743228,18.2614842,54.7844526
95,25001,5/6/20,28,7,6.132979,0,0,12.1743228,30.435807,48.6972912
96,25001,5/7/20,24,2,5.231619,0,0,6.0871614,42.6101298,6.0871614
97,25001,5/8/20,17,4,4.755289,0,0,6.0871614,48.6972912,12.1743228
98,25001,5/9/20,18,5,4.766673,0,0,6.0871614,24.3486456,6.0871614
99,25001,5/10/20,12,2,4.803335,0,0,6.0871614,24.3486456,6.0871614
100,25001,5/11/20,7,5,4.84432,0,0,6.0871614,42.6101298,6.0871614
101,25001,5/12/20,18,0,5.824036,0,0,6.0871614,24.3486456,12.1743228
102,25001,5/13/20,18,6,6.576555,0,0,12.1743228,42.6101298,6.0871614
103,25001,5/14/20,8,3,6.929395,0,0,12.1743228,12.1743228,18.2614842
104,25001,5/15/20,18,4,6.263054,0,0,12.1743228,12.1743228,54.7844526
105,25001,5/16/20,10,4,5.710056,0,0,6.0871614,18.2614842,6.0871614
106,25001,5/17/20,3,3,5.198768,0.3023474,0.3023474,6.0871614,18.2614842,6.0871614
107,25001,5/18/20,5,2,4.858805,0.3995647,0.3995647,6.0871614,60.871614,54.7844526
108,25001,5/19/20,22,1,4.927645,0.4246649,0.4246649,6.0871614,18.2614842,48.6972912
109,25001,5/20/20,20,2,4.713135,0.4068544,0.4068544,6.0871614,6.0871614,18.2614842
110,25001,5/21/20,5,1,4.418172,0.4237005,0.4237005,6.0871614,36.5229684,54.7844526
