5.519095420837402344e+00,1.286097220145165920e-03,4.933147430419921875e-01
5.559168338775634766e+00,1.209035865031182766e-03,5.023804903030395508e-01
5.568337440490722656e+00,1.187622896395623684e-03,5.068802237510681152e-01
5.573009967803955078e+00,1.179942861199378967e-03,5.095243453979492188e-01
5.577816009521484375e+00,1.176699064671993256e-03,5.111517906188964844e-01
5.582439422607421875e+00,1.175115350633859634e-03,5.121688842773437500e-01
5.586378097534179688e+00,1.174229779280722141e-03,5.128109455108642578e-01
5.589559555053710938e+00,1.173671567812561989e-03,5.132195949554443359e-01
5.592124938964843750e+00,1.173282624222338200e-03,5.134807825088500977e-01
5.594257831573486328e+00,1.172988908365368843e-03,5.136477947235107422e-01
5.596107006072998047e+00,1.172752468846738338e-03,5.137539505958557129e-01
5.597780227661132812e+00,1.172552583739161491e-03,5.138202309608459473e-01
5.599348545074462891e+00,1.172377029433846474e-03,5.138601660728454590e-01
5.600851535797119141e+00,1.172219170257449150e-03,5.138829946517944336e-01
5.602318763732910156e+00,1.172074116766452789e-03,5.138944387435913086e-01
5.603763580322265625e+00,1.171939074993133545e-03,5.138986706733703613e-01
5.605195522308349609e+00,1.171812298707664013e-03,5.138987302780151367e-01
5.606617450714111328e+00,1.171692740172147751e-03,5.138967037200927734e-01
5.608031272888183594e+00,1.171579817309975624e-03,5.138942003250122070e-01
5.609438896179199219e+00,1.171473180875182152e-03,5.138926506042480469e-01
5.610836505889892578e+00,1.171372947283089161e-03,5.138929486274719238e-01
5.612224102020263672e+00,1.171279232949018478e-03,5.138962864875793457e-01
5.613598823547363281e+00,1.171192736364901066e-03,5.139036178588867188e-01
5.614958763122558594e+00,1.171113806776702404e-03,5.139158368110656738e-01
5.616298675537109375e+00,1.171043957583606243e-03,5.139340162277221680e-01
5.617613792419433594e+00,1.170984003692865372e-03,5.139593482017517090e-01
5.618900299072265625e+00,1.170936040580272675e-03,5.139930844306945801e-01
5.620149612426757812e+00,1.170901814475655556e-03,5.140368342399597168e-01
5.621353626251220703e+00,1.170884235762059689e-03,5.140924453735351562e-01
5.622503280639648438e+00,1.170886331237852573e-03,5.141622424125671387e-01
5.623582363128662109e+00,1.170912408269941807e-03,5.142490267753601074e-01
5.624577045440673828e+00,1.170967705547809601e-03,5.143563151359558105e-01
5.625465393066406250e+00,1.171058742329478264e-03,5.144888758659362793e-01
5.626219749450683594e+00,1.171194133348762989e-03,5.146524906158447266e-01
5.626804351806640625e+00,1.171385170891880989e-03,5.148549675941467285e-01
5.627172470092773438e+00,1.171646174043416977e-03,5.151068568229675293e-01
5.627256870269775391e+00,1.171996351331472397e-03,5.154224038124084473e-01
5.626965045928955078e+00,1.172462361864745617e-03,5.158213376998901367e-01
5.626163005828857422e+00,1.173080643638968468e-03,5.163319110870361328e-01
5.624646663665771484e+00,1.173904165625572205e-03,5.169946551322937012e-01
5.622091293334960938e+00,1.175011508166790009e-03,5.178688764572143555e-01
5.617966175079345703e+00,1.176526653580367565e-03,5.190421342849731445e-01
5.611352920532226562e+00,1.178655889816582203e-03,5.206424593925476074e-01
5.600597858428955078e+00,1.181771862320601940e-03,5.228492617607116699e-01
5.582577705383300781e+00,1.186607987619936466e-03,5.258836150169372559e-01
5.551040172576904297e+00,1.194780459627509117e-03,5.299097299575805664e-01
5.492293834686279297e+00,1.211941125802695751e-03,5.377197265625000000e-01
5.372222423553466797e+00,1.251795096322894096e-03,5.483787655830383301e-01
5.096854209899902344e+00,1.368507510051131248e-03,5.561862587928771973e-01
